antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'HERB MARKER THYME'}),frozenset({'HERB MARKER ROSEMARY'}),0.010916631091053241,0.011038604622796853,0.010306763432335183,0.9441340782122906,85.53020154943054,1.0,0.010186259057908115,17.702408977251956,0.9992162992248368,0.8848167539267017,0.9435105131010686,0.9389178678354271
frozenset({'HERB MARKER ROSEMARY'}),frozenset({'HERB MARKER THYME'}),0.011038604622796853,0.010916631091053241,0.010306763432335183,0.9337016574585636,85.53020154943054,1.0,0.010186259057908115,14.918674147709961,0.9993395375449188,0.8848167539267017,0.9329699147458421,0.9389178678354271
frozenset({'HERB MARKER PARSLEY'}),frozenset({'HERB MARKER THYME'}),0.010855644325181435,0.010916631091053241,0.01006281636884796,0.9269662921348315,84.91321950913314,1.0,0.009944309304494268,13.542833820445587,0.9990688063195616,0.859375,0.9261602103918383,0.924377000816019
frozenset({'HERB MARKER THYME'}),frozenset({'HERB MARKER PARSLEY'}),0.010916631091053241,0.010855644325181435,0.01006281636884796,0.9217877094972067,84.91321950913314,1.0,0.009944309304494268,12.646917118985176,0.9991304087863466,0.859375,0.9209293466074171,0.924377000816019
frozenset({'HERB MARKER PARSLEY'}),frozenset({'HERB MARKER ROSEMARY'}),0.010855644325181435,0.011038604622796853,0.010123803134719766,0.9325842696629214,84.48389099261283,1.0,0.01000397196908838,14.669594031428526,0.9990083027714781,0.8601036269430052,0.9318317877197164,0.9248556707430629
frozenset({'HERB MARKER ROSEMARY'}),frozenset({'HERB MARKER PARSLEY'}),0.011038604622796853,0.010855644325181435,0.010123803134719766,0.9171270718232044,84.48389099261283,1.0,0.01000397196908838,11.935675225142809,0.9991931217717441,0.8601036269430052,0.916217559447875,0.9248556707430629
frozenset({'HERB MARKER BASIL'}),frozenset({'HERB MARKER ROSEMARY'}),0.010916631091053241,0.011038604622796853,0.010001829602976154,0.9162011173184358,82.99972221364858,1.0,0.009881325228549086,11.801605984834628,0.9988559083704045,0.836734693877551,0.9152657696516029,0.9111392326923671
frozenset({'HERB MARKER ROSEMARY'}),frozenset({'HERB MARKER BASIL'}),0.011038604622796853,0.010916631091053241,0.010001829602976154,0.9060773480662984,82.99972221364858,1.0,0.009881325228549086,10.5308288101482,0.9989791022416885,0.836734693877551,0.9050407125566096,0.9111392326923671
frozenset({'HERB MARKER PARSLEY'}),frozenset({'HERB MARKER MINT'}),0.010855644325181435,0.01122156492041227,0.010001829602976154,0.9213483146067416,82.1051538837323,1.0,0.009880012285428225,12.571611531726191,0.9986616118704501,0.8282828282828283,0.9204557031152003,0.9063263312164143
frozenset({'HERB MARKER MINT'}),frozenset({'HERB MARKER PARSLEY'}),0.01122156492041227,0.010855644325181435,0.010001829602976154,0.8913043478260869,82.1051538837323,1.0,0.009880012285428225,9.100128072208326,0.9990311899664979,0.8282828282828283,0.8901114366671402,0.9063263312164143
frozenset({'HERB MARKER ROSEMARY'}),frozenset({'HERB MARKER MINT'}),0.011038604622796853,0.01122156492041227,0.010123803134719766,0.9171270718232044,81.72898150372328,1.0,0.009999932716314287,11.93125978329369,0.9987896826576161,0.8341708542713567,0.9161865537954161,0.9096504924333413
frozenset({'HERB MARKER MINT'}),frozenset({'HERB MARKER ROSEMARY'}),0.01122156492041227,0.011038604622796853,0.010123803134719766,0.9021739130434783,81.72898150372328,1.0,0.009999932716314287,10.109383152744744,0.9989744954034356,0.8341708542713567,0.9010819963106754,0.9096504924333413
frozenset({'REGENCY TEA PLATE PINK'}),frozenset({'REGENCY TEA PLATE GREEN'}),0.011282551686284076,0.01384399585289992,0.01006281636884796,0.8918918918918919,64.4244552922967,1.0,0.009906620770092914,9.121943038360675,0.9957121174737756,0.6680161943319839,0.8903742332313761,0.8093820692939635
frozenset({'REGENCY TEA PLATE GREEN'}),frozenset({'REGENCY TEA PLATE PINK'}),0.01384399585289992,0.011282551686284076,0.01006281636884796,0.7268722466960352,64.4244552922967,1.0,0.009906620770092914,3.619981625277637,0.9982983827139673,0.6680161943319839,0.7237555038906297,0.8093820692939635
frozenset({'REGENCY TEA PLATE PINK'}),frozenset({'REGENCY TEA PLATE ROSES'}),0.011282551686284076,0.016222479721900347,0.010001829602976154,0.8864864864864864,54.645559845559845,1.0,0.009818798637034118,8.666611488164206,0.9929027278799807,0.5714285714285714,0.8846146499856746,0.7515139199349725
frozenset({'REGENCY TEA PLATE ROSES'}),frozenset({'REGENCY TEA PLATE PINK'}),0.016222479721900347,0.011282551686284076,0.010001829602976154,0.6165413533834586,54.645559845559845,1.0,0.009818798637034118,2.578420012269102,0.9978884771179868,0.5714285714285714,0.6121655916252511,0.7515139199349725
frozenset({'REGENCY TEA PLATE GREEN'}),frozenset({'REGENCY TEA PLATE ROSES'}),0.01384399585289992,0.016222479721900347,0.011709459047386716,0.8458149779735682,52.13845185651353,1.0,0.011484875105392974,6.3804999172322425,0.9945893887858174,0.637873754152824,0.8432724687764304,0.7838097446258818
frozenset({'REGENCY TEA PLATE ROSES'}),frozenset({'REGENCY TEA PLATE GREEN'}),0.016222479721900347,0.01384399585289992,0.011709459047386716,0.7218045112781954,52.13845185651353,1.0,0.011484875105392974,3.5448310419341698,0.9969940125638006,0.637873754152824,0.717899107695026,0.7838097446258818
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",0.012746234067207415,0.015856559126669514,0.010306763432335183,0.8086124401913876,50.99545454545454,1.0,0.01010465201820614,5.142149478563152,0.9930480317804261,0.5633333333333334,0.8055287960474798,0.7293062200956937
